,length,score
1146,451,1
1147,654,0
1148,654,0
1149,759,1
1150,682,0
1151,810,4
1152,293,0
1153,329,3
1154,427,9
1155,1889,4
1156,564,4
1157,619,2
1158,2911,1
1159,802,0
1160,1174,18
1161,1557,2
1162,956,1
1163,257,0
1164,333,0
1165,353,0
1166,283,1
1167,419,2
1168,496,1
1169,3988,1
1170,278,1
1171,518,2
1172,514,1
1173,931,1
1174,491,7
1175,844,4
1176,1360,0
1177,609,1
1178,552,0
1179,1381,1
1180,308,-2
1181,688,0
1182,426,0
1183,263,2
1184,443,0
1185,429,1
1186,3143,3
1187,285,0
1188,690,0
1189,464,1
1190,417,0
1191,232,0
1192,460,0
1193,175,1
1194,308,6
1195,325,1
1196,508,1
1197,623,0
1198,1549,5
1199,415,0
1200,938,2
1201,1655,0
1202,299,1
1203,441,0
1204,1180,1
1205,1554,-1
1206,92,2
1207,374,0
1208,285,0
1209,2232,0
1210,620,0
1211,433,2
1212,592,1
1213,1725,5
1214,648,0
1215,2704,0
1216,506,0
1217,156,1
1218,1127,1
1219,116,1
1220,868,2
1221,846,1
1222,1457,1
1223,680,10
1224,493,1
1225,505,4
1226,945,8
1227,235,3
1228,879,1
1229,273,0
1230,383,2
1231,202,0
1232,1782,2
1233,377,2
1234,305,-1
1235,2107,0
1236,833,4
1237,1898,2
1238,828,1
1239,641,0
1240,682,1
1241,139,1
1242,396,1
1243,318,0
1244,312,0
1245,656,0
1246,891,2
1247,558,2
1248,383,0
1249,455,5
1250,1139,13
1251,382,5
1252,314,0
1253,942,0
1254,1373,0
1255,719,3
1256,702,2
1257,128,1
1258,263,-1
1259,406,0
1260,406,5
1261,978,0
1262,4713,0
1263,695,16
1264,1637,2
1265,316,2
1266,145,0
1267,95,1
1268,2314,10
1269,1027,0
1270,379,0
1271,76,1
1272,345,2
1273,4109,1
1274,257,0
1275,416,0
1276,546,3
1277,431,0
1278,217,0
1279,1802,15
1280,233,0
1281,242,0
1282,2094,0
1283,332,0
1284,329,1
1285,960,5
1286,3268,4
1287,366,2
1288,301,0
1289,359,2
1290,196,2
1291,189,0
1292,301,3
1293,638,0
1294,934,2
1295,69,0
1296,1943,7
1297,279,1
1298,944,1
1299,624,0
1300,928,0
1301,627,0
1302,248,0
1303,407,3
1304,212,0
1305,341,1
1306,1590,0
1307,322,1
1308,228,1
1309,678,0
1310,1049,3
1311,1286,1
1312,229,0
1313,1335,2
1314,449,0
1315,227,4
1316,75,3
1317,130,11
1318,300,1
1319,371,1
1320,853,1
1321,1182,1
1322,605,3
1323,2239,2
1324,1245,1
1325,368,1
1326,415,1
1327,118,2
1328,147,0
1329,1660,0
1330,4834,176
1331,306,1
1332,360,0
1333,108,2
1334,1102,2
1335,1099,1
1336,275,0
1337,63,70
1338,1560,0
1339,1224,1
1340,778,2
1341,264,0
1342,527,0
1343,580,2
1344,162,1
1345,469,2
1346,826,1
1347,613,67
1348,1214,1
1349,342,1
1350,204,1
1351,457,0
1352,166,3
1353,3155,2
1354,1337,0
1355,904,1
1356,230,0
1357,4622,1
1358,335,0
1359,1414,5
1360,97,2
1361,366,0
1362,836,0
1363,631,5
1364,356,26
1365,993,0
1366,3029,4
1367,826,4
1368,73,0
1369,382,2
1370,570,0
1371,521,1
1372,318,0
1373,2511,2
1374,304,0
1375,390,3
1376,545,3
1377,1941,2
1378,206,0
1379,977,-1
1380,570,0
1381,1258,1
1382,598,1
1383,211,1
1384,122,0
1385,1521,2
1386,2222,1
1387,633,0
1388,102,0
1389,785,1
1390,116,0
1391,435,2
1392,1981,0
1393,183,1
1394,564,0
1395,770,0
1396,550,0
1397,609,1
1398,448,1
1399,1357,4
1400,619,0
1401,848,1
1402,1014,0
1403,200,0
1404,628,3
1405,201,5
1406,420,2
1407,439,1
1408,877,0
1409,1159,0
1410,546,0
1411,194,8
1412,164,0
1413,753,0
1414,2160,2
1415,2154,3
1416,462,0
1417,1446,3
1418,1718,1
1419,2587,1
1420,846,0
1421,974,8
1422,1119,0
1423,863,0
1424,584,1
1425,901,1
1426,292,6
1427,493,0
1428,1207,1
1429,730,1
1430,399,1
1431,452,1
1432,129,0
1433,946,1
1434,445,1
1435,797,4
1436,175,7
1437,322,1
1438,282,3
1439,1885,1
1440,198,2
1441,246,0
1442,1255,0
1443,378,2
1444,789,1
1445,269,0
1446,2277,0
1447,2085,0
1448,103,1
1449,1001,3
1450,1182,1
1451,759,0
1452,757,2
1453,1081,7
1454,579,3
1455,314,0
1456,438,20
1457,481,3
1458,216,0
1459,100,1
1460,337,2
1461,90,3
1462,3999,1
1463,377,1
1464,181,0
1465,585,1
1466,402,7
1467,1424,1
1468,1273,249
1469,141,488
1470,599,6
1471,1536,1
1472,676,0
1473,805,1
1474,302,1
1475,985,7
1476,365,-2
1477,551,1
1478,4405,3
1479,334,0
1480,766,0
1481,745,1
1482,430,-1
1483,1059,0
1484,493,1
1485,207,0
1486,358,2
1487,660,1
1488,60,0
1489,1024,1
1490,829,3
1491,504,0
1492,979,0
1493,259,0
1494,305,-1
1495,624,0
1496,312,1
1497,376,0
1498,948,0
1499,794,1
1500,961,2
1501,855,0
1502,155,0
1503,1596,0
1504,725,0
1505,680,3
1506,428,2
1507,1342,0
1508,657,1
1509,222,0
1510,1763,4
1511,2557,0
1512,897,1
1513,568,0
1514,627,0
1515,1064,0
1516,2875,0
1517,1775,0
1518,1141,1
1519,281,0
1520,508,2
1521,376,1
1522,1102,7
1523,410,0
1524,238,1
1525,3601,2
1526,602,1
1527,380,0
1528,818,1
1529,985,0
1530,463,-1
1531,210,6
1532,4448,1
1533,3040,0
1534,120,1
1535,204,-1
1536,2632,13
1537,217,2
1538,311,0
1539,472,0
1540,767,5
1541,486,10
1542,524,0
1543,238,0
1544,183,0
1545,542,0
1546,701,0
1547,521,1
1548,274,2
1549,2230,1
1550,283,2
1551,617,2
1552,177,1
1553,1043,10
1554,1604,6
1555,522,0
1556,977,0
1557,317,0
1558,2178,2
1559,2717,20
1560,417,-1
1561,376,0
1562,589,1
1563,177,0
1564,289,1
1565,1011,2
1566,403,-1
1567,718,4
1568,425,0
1569,430,2
1570,436,6
1571,995,0
1572,734,1
1573,2508,1
1574,1346,0
1575,3966,1
1576,2891,0
1577,242,2
1578,743,0
1579,881,1
1580,326,2
1581,156,4
1582,124,12
1583,218,12
1584,599,1
1585,328,38
1586,1114,0
1587,217,1
1588,379,1
1589,476,3
1590,325,1
1591,1609,3
1592,321,2
1593,1013,1
1594,84,3
1595,486,1
1596,843,0
1597,259,1
1598,550,0
1599,239,0
1600,2124,2
1601,3100,1
1602,560,1
1603,928,7
1604,499,0
1605,229,0
1606,160,29
1607,1554,6
1608,418,0
1609,544,4
1610,168,1
1611,1027,1
1612,126,0
1613,1564,1
1614,693,2
1615,1491,1
1616,699,1
1617,1016,1
1618,565,16
1619,545,0
1620,1378,0
1621,648,0
1622,192,-2
1623,699,1
1624,585,5
1625,67,1
1626,488,0
1627,5491,1
1628,477,0
1629,226,1
1630,3121,6
1631,255,0
1632,1105,0
1633,389,1
1634,159,2
1635,94,0
1636,1323,1
1637,2193,4
1638,3383,5
1639,399,1
1640,337,0
1641,5171,4
1642,560,1
1643,150,-1
1644,430,1
1645,1591,1
1646,284,6
1647,530,1
1648,453,0
1649,872,1
1650,1970,1
1651,354,2
1652,1423,3
1653,829,2
1654,703,2
1655,681,7
1656,817,2
1657,1733,2
1658,473,1
1659,286,1
1660,95,3
1661,1588,0
1662,159,1
1663,456,0
1664,308,0
1665,1002,1
1666,580,1
1667,321,0
1668,261,1
1669,869,1
1670,300,7
1671,563,4
1672,1896,2
1673,1108,0
1674,1108,0
1675,162,1
1676,382,0
1677,537,13
1678,89,-2
1679,527,0
1680,175,0
1681,491,0
1682,5072,0
1683,1647,0
1684,1641,0
1685,712,2
1686,264,4
1687,1829,0
1688,258,2
1689,132,0
1690,1363,2
1691,1405,1
1692,580,0
1693,781,2
1694,379,1
1695,287,0
1696,1572,0
1697,672,1
1698,362,0
1699,227,1
1700,449,0
1701,382,0
1702,511,0
1703,483,10
1704,1080,1
1705,1204,7
1706,1256,0
1707,82,0
1708,1563,1
1709,2039,5
1710,395,0
1711,1038,1
1712,742,1
1713,898,0
1714,411,0
1715,118,253
1716,694,1
1717,394,37
1718,440,0
1719,904,0
1720,2170,0
1721,90,0
1722,2226,1
1723,610,0
1724,363,2
1725,325,0
1726,1656,1
1727,877,1
1728,466,1
1729,144,3
1730,396,0
1731,261,0
1732,410,0
1733,627,1
1734,177,1
1735,583,3
1736,1055,0
1737,450,2
1738,486,2
1739,265,1
1740,79,3
1741,1047,0
1742,951,1
1743,1328,1
1744,446,0
1745,193,1
1746,1009,0
1747,5424,9
1748,490,1
1749,293,0
1750,365,0
1751,1245,2
1752,2075,2
1753,1222,0
1754,423,0
1755,639,0
1756,523,2
1757,2497,3
1758,752,1
1759,856,83
1760,1918,0
1761,2860,2
1762,157,6
1763,699,1
1764,359,0
1765,81,1
1766,2529,0
1767,477,3
1768,485,0
1769,395,1
1770,2000,0
1771,2094,1
1772,379,7
1773,407,1
1774,199,0
1775,694,-1
1776,165,1
1777,399,0
1778,254,0
1779,751,2
1780,560,0
1781,768,2
1782,325,1
1783,142,13
1784,1409,0
1785,130,2
1786,854,2
1787,142,0
1788,902,0
1789,167,1
1790,246,1
1791,1510,2
1792,476,5
1793,1453,13
1794,1102,1
1795,874,17
1796,746,2
1797,125,1
1798,293,0
1799,1150,1
1800,653,-1
1801,592,1
1802,256,0
1803,280,2
1804,271,1
1805,266,5
1806,893,24
1807,518,1
1808,228,1
1809,250,2
1810,217,0
1811,362,2
1812,2776,1
1813,278,0
1814,1212,2
1815,759,2
1816,182,0
1817,127,0
1818,300,-1
1819,1086,1
1820,1262,18
1821,638,1
1822,528,0
1823,1912,0
1824,737,0
1825,1465,4
1826,199,0
1827,671,0
1828,1274,2
1829,672,0
1830,220,0
1831,486,1
1832,170,0
1833,85,1
1834,230,0
1835,1459,1
1836,659,1
1837,450,0
1838,592,2
1839,493,0
1840,789,2
1841,215,13
1842,866,0
1843,1455,1
1844,3018,13
1845,1611,0
1846,833,0
1847,107,1
1848,254,3
1849,520,1
1850,366,0
1851,393,0
1852,790,6
1853,611,0
1854,978,0
1855,374,0
1856,1511,1
1857,767,1
1858,657,1
1859,121,0
1860,483,0
1861,2927,0
1862,240,1
1863,464,2
1864,626,0
1865,134,0
1866,1193,0
1867,1306,3
1868,1719,30
1869,450,0
1870,3139,6
1871,450,2
1872,879,4
1873,2507,0
1874,250,2
1875,835,1
1876,182,0
1877,138,0
1878,1182,3
1879,511,1
1880,1222,0
1881,227,2
1882,260,0
1883,242,0
1884,1303,0
1885,860,0
1886,996,0
1887,245,0
1888,344,0
1889,471,1
1890,230,0
1891,65,0
1892,968,0
1893,3453,2
1894,744,0
1895,1336,0
1896,461,1
1897,475,16
1898,426,1
1899,619,2
1900,784,3
1901,617,1
1902,829,0
1903,833,1
1904,6693,3
1905,356,1
1906,102,0
1907,2063,2
1908,331,1
1909,1066,1
1910,1950,11
1911,1224,3
1912,446,0
1913,287,0
1914,335,0
1915,914,1
1916,235,19
1917,1150,2
1918,150,163
1919,90,-6
1920,652,1
1921,563,1
1922,235,0
1923,330,5
1924,916,1
1925,588,2
1926,319,1
1927,300,0
1928,694,0
1929,109,60
1930,211,0
1931,534,2
1932,423,1
1933,1311,1
1934,829,2
1935,861,0
1936,289,1
1937,322,0
1938,647,5
1939,555,0
1940,895,0
1941,601,1
1942,3373,0
1943,310,-1
1944,557,-1
1945,405,0
1946,125,1
1947,688,0
1948,3160,0
1949,576,2
1950,199,3
1951,325,1
1952,439,0
1953,132,3
1954,470,0
1955,263,3
1956,289,1
1957,146,4
1958,4556,5
1959,291,2
1960,502,1
1961,1060,1
1962,1640,3
1963,1456,2
1964,325,0
1965,208,0
1966,848,0
1967,624,2
1968,73,0
1969,256,0
1970,449,4
1971,177,1
1972,2444,2
1973,228,0
1974,2542,4
1975,1325,0
1976,317,0
1977,405,3
1978,1013,1
1979,113,6
1980,3098,0
1981,753,8
1982,455,3
1983,1733,0
1984,334,3
1985,1168,0
1986,1350,1
1987,464,2
1988,343,1
1989,664,2
1990,65,0
1991,244,0
1992,355,2
1993,313,1
1994,493,12
1995,900,0
1996,616,13
1997,703,0
1998,315,0
1999,411,0
2000,282,0
2001,821,0
2002,2642,2
2003,838,0
2004,1235,0
2005,1442,7
2006,218,0
2007,492,0
2008,583,0
2009,103,25
2010,215,0
2011,624,0
2012,763,1
2013,2270,1
2014,613,0
2015,239,0
2016,1067,0
2017,452,0
2018,374,1
2019,1654,0
2020,834,1
2021,254,7
2022,59,0
2023,1123,4
2024,453,2
2025,287,0
2026,55,-1
2027,819,1
2028,509,-1
2029,1342,5
2030,957,1
2031,3108,3
2032,250,0
2033,440,1
2034,499,2
2035,1668,5
2036,2202,0
2037,170,0
2038,1565,0
2039,3971,6
2040,95,0
2041,70,2
2042,777,0
2043,1251,2
2044,524,168
2045,1341,2
2046,871,1
2047,448,0
2048,1510,1
2049,358,1
2050,1888,6
2051,603,0
2052,700,3
2053,1338,0
2054,419,3
2055,2461,1
2056,745,3
2057,77,1
2058,125,5
2059,542,0
2060,417,1
